9,12,74626
8,6,74446
5,6,73432
8,12,75491
8,1500,73598
2,1500,71499
2,9,70503
6,6,73589
10,12,75508
4,9,72938
9,9,74620
2,12,71505
3,12,71791
4,1500,72156
10,1500,75549
7,12,73520
6,12,74442
10,6,89145
5,12,72656
3,6,72349
6,1500,74650
7,9,73884
4,12,73254
9,1500,74301
2,15,70903
3,15,72266
6,9,73944
2,6,71956
7,15,73393
5,9,73994
6,15,73250
8,9,75391
5,15,73074
4,15,73200
3,1500,71772
9,15,74452
5,1500,74483
10,9,82569
8,15,74102
7,6,74487
3,9,72909
9,6,80332
4,6,71975
7,1500,74426
10,15,76892
