2,10,219707653
9,15,2021857472
3,15,301495917
10,10,3319089638
4,20,569832568
2,15,29353439
5,1000,857024732
7,15,982418590
9,10,2175904672
10,20,2700023212
3,10,301964045
7,1000,979700752
8,15,1135016368
6,10,927735220
5,10,856941698
2,20,219183482
4,1000,569891413
4,10,570158468
7,10,1042875917
6,15,948764131
9,20,2021076895
10,15,2627311129
10,1000,2491902086
3,20,301416638
8,1000,1132496678
4,15,570205837
6,1000,919356154
7,20,977179568
5,15,8592955
3,1000,301346704
8,20,1133589616
6,20,913417288
8,10,1629380679
5,20,855951304
9,1000,2026786240
