100,360,245956884
250,240,246447183
300,420,247004904
50,1500,183113845
200,300,246485111
200,240,246473909
300,360,246509128
200,420,246147583
250,180,246950371
100,240,246482720
150,360,246552254
100,300,246456213
300,180,247027265
50,240,246325668
200,180,246966677
50,420,246350877
250,300,246954209
300,240,247013432
50,360,246303322
100,1500,183219939
300,300,247014743
100,180,246843041
150,420,246538941
250,360,246644548
250,420,246616709
150,180,246887928
150,1500,183316103
50,180,246385999
200,1500,183170712
100,420,246489150
150,240,246348803
200,360,246646893
150,300,246752329
250,1500,182542376
50,300,246369173
